Year,Quarter,Vehicle Category,Count,QoQ_Growth (%)
2022,Q1,FOUR WHEELER (INVALID CARRIAGE),666,
2022,Q2,FOUR WHEELER (INVALID CARRIAGE),644,-3.3
2022,Q3,FOUR WHEELER (INVALID CARRIAGE),684,6.21
2022,Q4,FOUR WHEELER (INVALID CARRIAGE),813,18.86
2023,Q1,FOUR WHEELER (INVALID CARRIAGE),813,0.0
2023,Q2,FOUR WHEELER (INVALID CARRIAGE),937,15.25
2023,Q3,FOUR WHEELER (INVALID CARRIAGE),903,-3.63
2023,Q4,FOUR WHEELER (INVALID CARRIAGE),902,-0.11
2024,Q1,FOUR WHEELER (INVALID CARRIAGE),987,9.42
2024,Q2,FOUR WHEELER (INVALID CARRIAGE),974,-1.32
2024,Q3,FOUR WHEELER (INVALID CARRIAGE),730,-25.05
2024,Q4,FOUR WHEELER (INVALID CARRIAGE),855,17.12
2025,Q1,FOUR WHEELER (INVALID CARRIAGE),825,-3.51
2025,Q2,FOUR WHEELER (INVALID CARRIAGE),796,-3.52
2022,Q1,HEAVY GOODS VEHICLE,66228,
2022,Q2,HEAVY GOODS VEHICLE,68879,4.0
2022,Q3,HEAVY GOODS VEHICLE,58409,-15.2
2022,Q4,HEAVY GOODS VEHICLE,68557,17.37
2023,Q1,HEAVY GOODS VEHICLE,85363,24.51
2023,Q2,HEAVY GOODS VEHICLE,75935,-11.04
2023,Q3,HEAVY GOODS VEHICLE,64951,-14.47
2023,Q4,HEAVY GOODS VEHICLE,74861,15.26
2024,Q1,HEAVY GOODS VEHICLE,81262,8.55
2024,Q2,HEAVY GOODS VEHICLE,72145,-11.22
2024,Q3,HEAVY GOODS VEHICLE,60308,-16.41
2024,Q4,HEAVY GOODS VEHICLE,68283,13.22
2025,Q1,HEAVY GOODS VEHICLE,76553,12.11
2025,Q2,HEAVY GOODS VEHICLE,68639,-10.34
2022,Q1,HEAVY MOTOR VEHICLE,1464,
2022,Q2,HEAVY MOTOR VEHICLE,1433,-2.12
2022,Q3,HEAVY MOTOR VEHICLE,1278,-10.82
2022,Q4,HEAVY MOTOR VEHICLE,1565,22.46
2023,Q1,HEAVY MOTOR VEHICLE,1491,-4.73
2023,Q2,HEAVY MOTOR VEHICLE,1727,15.83
2023,Q3,HEAVY MOTOR VEHICLE,1312,-24.03
2023,Q4,HEAVY MOTOR VEHICLE,1251,-4.65
2024,Q1,HEAVY MOTOR VEHICLE,1249,-0.16
2024,Q2,HEAVY MOTOR VEHICLE,1210,-3.12
2024,Q3,HEAVY MOTOR VEHICLE,1011,-16.45
2024,Q4,HEAVY MOTOR VEHICLE,1023,1.19
2025,Q1,HEAVY MOTOR VEHICLE,1194,16.72
2025,Q2,HEAVY MOTOR VEHICLE,1339,12.14
2022,Q1,HEAVY PASSENGER VEHICLE,2910,
2022,Q2,HEAVY PASSENGER VEHICLE,2810,-3.44
2022,Q3,HEAVY PASSENGER VEHICLE,3814,35.73
2022,Q4,HEAVY PASSENGER VEHICLE,3889,1.97
2023,Q1,HEAVY PASSENGER VEHICLE,5186,33.35
2023,Q2,HEAVY PASSENGER VEHICLE,6101,17.64
2023,Q3,HEAVY PASSENGER VEHICLE,4740,-22.31
2023,Q4,HEAVY PASSENGER VEHICLE,5678,19.79
2024,Q1,HEAVY PASSENGER VEHICLE,8344,46.95
2024,Q2,HEAVY PASSENGER VEHICLE,7967,-4.52
2024,Q3,HEAVY PASSENGER VEHICLE,7818,-1.87
2024,Q4,HEAVY PASSENGER VEHICLE,8477,8.43
2025,Q1,HEAVY PASSENGER VEHICLE,8964,5.74
2025,Q2,HEAVY PASSENGER VEHICLE,9521,6.21
2022,Q1,LIGHT GOODS VEHICLE,148226,
2022,Q2,LIGHT GOODS VEHICLE,141114,-4.8
2022,Q3,LIGHT GOODS VEHICLE,145169,2.87
2022,Q4,LIGHT GOODS VEHICLE,158685,9.31
2023,Q1,LIGHT GOODS VEHICLE,163086,2.77
2023,Q2,LIGHT GOODS VEHICLE,138707,-14.95
2023,Q3,LIGHT GOODS VEHICLE,144023,3.83
2023,Q4,LIGHT GOODS VEHICLE,157469,9.34
2024,Q1,LIGHT GOODS VEHICLE,158623,0.73
2024,Q2,LIGHT GOODS VEHICLE,135792,-14.39
2024,Q3,LIGHT GOODS VEHICLE,134316,-1.09
2024,Q4,LIGHT GOODS VEHICLE,155231,15.57
2025,Q1,LIGHT GOODS VEHICLE,160393,3.33
2025,Q2,LIGHT GOODS VEHICLE,135843,-15.31
2022,Q1,LIGHT MOTOR VEHICLE,1008401,
2022,Q2,LIGHT MOTOR VEHICLE,1006935,-0.15
2022,Q3,LIGHT MOTOR VEHICLE,1000573,-0.63
2022,Q4,LIGHT MOTOR VEHICLE,1117868,11.72
2023,Q1,LIGHT MOTOR VEHICLE,1144387,2.37
2023,Q2,LIGHT MOTOR VEHICLE,1049482,-8.29
2023,Q3,LIGHT MOTOR VEHICLE,1085059,3.39
2023,Q4,LIGHT MOTOR VEHICLE,1159895,6.9
2024,Q1,LIGHT MOTOR VEHICLE,1217108,4.93
2024,Q2,LIGHT MOTOR VEHICLE,1054952,-13.32
2024,Q3,LIGHT MOTOR VEHICLE,1050140,-0.46
2024,Q4,LIGHT MOTOR VEHICLE,1293401,23.16
2025,Q1,LIGHT MOTOR VEHICLE,1282930,-0.81
2025,Q2,LIGHT MOTOR VEHICLE,1097830,-14.43
2022,Q1,LIGHT PASSENGER VEHICLE,29452,
2022,Q2,LIGHT PASSENGER VEHICLE,39243,33.24
2022,Q3,LIGHT PASSENGER VEHICLE,49538,26.23
2022,Q4,LIGHT PASSENGER VEHICLE,46654,-5.82
2023,Q1,LIGHT PASSENGER VEHICLE,55604,19.18
2023,Q2,LIGHT PASSENGER VEHICLE,68760,23.66
2023,Q3,LIGHT PASSENGER VEHICLE,86092,25.21
2023,Q4,LIGHT PASSENGER VEHICLE,74472,-13.5
2024,Q1,LIGHT PASSENGER VEHICLE,95373,28.07
2024,Q2,LIGHT PASSENGER VEHICLE,94351,-1.07
2024,Q3,LIGHT PASSENGER VEHICLE,93258,-1.16
2024,Q4,LIGHT PASSENGER VEHICLE,81620,-12.48
2025,Q1,LIGHT PASSENGER VEHICLE,99886,22.38
2025,Q2,LIGHT PASSENGER VEHICLE,98258,-1.63
2022,Q1,MEDIUM GOODS VEHICLE,11113,
2022,Q2,MEDIUM GOODS VEHICLE,9931,-10.64
2022,Q3,MEDIUM GOODS VEHICLE,8545,-13.96
2022,Q4,MEDIUM GOODS VEHICLE,8863,3.72
2023,Q1,MEDIUM GOODS VEHICLE,9553,7.79
2023,Q2,MEDIUM GOODS VEHICLE,9003,-5.76
2023,Q3,MEDIUM GOODS VEHICLE,9122,1.32
2023,Q4,MEDIUM GOODS VEHICLE,9771,7.11
2024,Q1,MEDIUM GOODS VEHICLE,9686,-0.87
2024,Q2,MEDIUM GOODS VEHICLE,9174,-5.29
2024,Q3,MEDIUM GOODS VEHICLE,9532,3.9
2024,Q4,MEDIUM GOODS VEHICLE,9583,0.54
2025,Q1,MEDIUM GOODS VEHICLE,11232,17.21
2025,Q2,MEDIUM GOODS VEHICLE,10249,-8.75
2022,Q1,MEDIUM MOTOR VEHICLE,3924,
2022,Q2,MEDIUM MOTOR VEHICLE,3469,-11.6
2022,Q3,MEDIUM MOTOR VEHICLE,3236,-6.72
2022,Q4,MEDIUM MOTOR VEHICLE,4106,26.89
2023,Q1,MEDIUM MOTOR VEHICLE,3294,-19.78
2023,Q2,MEDIUM MOTOR VEHICLE,2857,-13.27
2023,Q3,MEDIUM MOTOR VEHICLE,2508,-12.22
2023,Q4,MEDIUM MOTOR VEHICLE,3043,21.33
2024,Q1,MEDIUM MOTOR VEHICLE,3238,6.41
2024,Q2,MEDIUM MOTOR VEHICLE,2609,-19.43
2024,Q3,MEDIUM MOTOR VEHICLE,2235,-14.33
2024,Q4,MEDIUM MOTOR VEHICLE,2850,27.52
2025,Q1,MEDIUM MOTOR VEHICLE,2870,0.7
2025,Q2,MEDIUM MOTOR VEHICLE,2486,-13.38
2022,Q1,MEDIUM PASSENGER VEHICLE,1823,
2022,Q2,MEDIUM PASSENGER VEHICLE,4375,139.99
2022,Q3,MEDIUM PASSENGER VEHICLE,5914,35.18
2022,Q4,MEDIUM PASSENGER VEHICLE,3983,-32.65
2023,Q1,MEDIUM PASSENGER VEHICLE,5107,28.22
2023,Q2,MEDIUM PASSENGER VEHICLE,8822,72.74
2023,Q3,MEDIUM PASSENGER VEHICLE,7971,-9.65
2023,Q4,MEDIUM PASSENGER VEHICLE,5238,-34.29
2024,Q1,MEDIUM PASSENGER VEHICLE,6798,29.78
2024,Q2,MEDIUM PASSENGER VEHICLE,9806,44.25
2024,Q3,MEDIUM PASSENGER VEHICLE,8654,-11.75
2024,Q4,MEDIUM PASSENGER VEHICLE,5685,-34.31
2025,Q1,MEDIUM PASSENGER VEHICLE,7671,34.93
2025,Q2,MEDIUM PASSENGER VEHICLE,11379,48.34
2022,Q1,OTHER THAN MENTIONED ABOVE,13049,
2022,Q2,OTHER THAN MENTIONED ABOVE,11864,-9.08
2022,Q3,OTHER THAN MENTIONED ABOVE,10530,-11.24
2022,Q4,OTHER THAN MENTIONED ABOVE,15037,42.8
2023,Q1,OTHER THAN MENTIONED ABOVE,18490,22.96
2023,Q2,OTHER THAN MENTIONED ABOVE,18651,0.87
2023,Q3,OTHER THAN MENTIONED ABOVE,14316,-23.24
2023,Q4,OTHER THAN MENTIONED ABOVE,18819,31.45
2024,Q1,OTHER THAN MENTIONED ABOVE,23097,22.73
2024,Q2,OTHER THAN MENTIONED ABOVE,18748,-18.83
2024,Q3,OTHER THAN MENTIONED ABOVE,16237,-13.39
2024,Q4,OTHER THAN MENTIONED ABOVE,22751,40.12
2025,Q1,OTHER THAN MENTIONED ABOVE,26489,16.43
2025,Q2,OTHER THAN MENTIONED ABOVE,22134,-16.44
2022,Q1,THREE WHEELER (INVALID CARRIAGE),1,
2022,Q2,THREE WHEELER (INVALID CARRIAGE),0,-100.0
2022,Q3,THREE WHEELER (INVALID CARRIAGE),0,
2022,Q4,THREE WHEELER (INVALID CARRIAGE),0,
2024,Q1,THREE WHEELER (INVALID CARRIAGE),1,inf
2024,Q2,THREE WHEELER (INVALID CARRIAGE),4,300.0
2024,Q3,THREE WHEELER (INVALID CARRIAGE),6,50.0
2024,Q4,THREE WHEELER (INVALID CARRIAGE),3,-50.0
2025,Q1,THREE WHEELER (INVALID CARRIAGE),2,-33.33
2025,Q2,THREE WHEELER (INVALID CARRIAGE),1,-50.0
2022,Q1,THREE WHEELER(NT),1650,
2022,Q2,THREE WHEELER(NT),1980,20.0
2022,Q3,THREE WHEELER(NT),3854,94.65
2022,Q4,THREE WHEELER(NT),6332,64.3
2023,Q1,THREE WHEELER(NT),6103,-3.62
2023,Q2,THREE WHEELER(NT),639,-89.53
2023,Q3,THREE WHEELER(NT),272,-57.43
2023,Q4,THREE WHEELER(NT),246,-9.56
2024,Q1,THREE WHEELER(NT),218,-11.38
2024,Q2,THREE WHEELER(NT),235,7.8
2024,Q3,THREE WHEELER(NT),247,5.11
2024,Q4,THREE WHEELER(NT),276,11.74
2025,Q1,THREE WHEELER(NT),240,-13.04
2025,Q2,THREE WHEELER(NT),376,56.67
2022,Q1,THREE WHEELER(T),135907,
2022,Q2,THREE WHEELER(T),137791,1.39
2022,Q3,THREE WHEELER(T),179952,30.6
2022,Q4,THREE WHEELER(T),216521,20.32
2023,Q1,THREE WHEELER(T),232890,7.56
2023,Q2,THREE WHEELER(T),245175,5.28
2023,Q3,THREE WHEELER(T),307598,25.46
2023,Q4,THREE WHEELER(T),312524,1.6
2024,Q1,THREE WHEELER(T),301310,-3.59
2024,Q2,THREE WHEELER(T),272493,-9.56
2024,Q3,THREE WHEELER(T),322283,18.27
2024,Q4,THREE WHEELER(T),324792,0.78
2025,Q1,THREE WHEELER(T),300355,-7.52
2025,Q2,THREE WHEELER(T),304480,1.37
2022,Q1,TWO WHEELER (INVALID CARRIAGE),3888,
2022,Q2,TWO WHEELER (INVALID CARRIAGE),4844,24.59
2022,Q3,TWO WHEELER (INVALID CARRIAGE),3064,-36.75
2022,Q4,TWO WHEELER (INVALID CARRIAGE),1924,-37.21
2023,Q1,TWO WHEELER (INVALID CARRIAGE),6295,227.18
2023,Q2,TWO WHEELER (INVALID CARRIAGE),5905,-6.2
2023,Q3,TWO WHEELER (INVALID CARRIAGE),6944,17.6
2023,Q4,TWO WHEELER (INVALID CARRIAGE),5312,-23.5
2024,Q1,TWO WHEELER (INVALID CARRIAGE),6525,22.84
2024,Q2,TWO WHEELER (INVALID CARRIAGE),3032,-53.53
2024,Q3,TWO WHEELER (INVALID CARRIAGE),3252,7.26
2024,Q4,TWO WHEELER (INVALID CARRIAGE),3055,-6.06
2025,Q1,TWO WHEELER (INVALID CARRIAGE),10581,246.35
2025,Q2,TWO WHEELER (INVALID CARRIAGE),4165,-60.64
2022,Q1,TWO WHEELER(NT),3545553,
2022,Q2,TWO WHEELER(NT),3918923,10.53
2022,Q3,TWO WHEELER(NT),3390268,-13.49
2022,Q4,TWO WHEELER(NT),4711056,38.96
2023,Q1,TWO WHEELER(NT),3987564,-15.36
2023,Q2,TWO WHEELER(NT),4042525,1.38
2023,Q3,TWO WHEELER(NT),3803043,-5.92
2023,Q4,TWO WHEELER(NT),5223287,37.34
2024,Q1,TWO WHEELER(NT),4441378,-14.97
2024,Q2,TWO WHEELER(NT),4566477,2.82
2024,Q3,TWO WHEELER(NT),3997614,-12.46
2024,Q4,TWO WHEELER(NT),5899192,47.57
2025,Q1,TWO WHEELER(NT),4405520,-25.32
2025,Q2,TWO WHEELER(NT),4802679,9.02
2022,Q1,TWO WHEELER(T),3042,
2022,Q2,TWO WHEELER(T),5076,66.86
2022,Q3,TWO WHEELER(T),4275,-15.78
2022,Q4,TWO WHEELER(T),6596,54.29
2023,Q1,TWO WHEELER(T),3500,-46.94
2023,Q2,TWO WHEELER(T),3763,7.51
2023,Q3,TWO WHEELER(T),4469,18.76
2023,Q4,TWO WHEELER(T),4702,5.21
2024,Q1,TWO WHEELER(T),3651,-22.35
2024,Q2,TWO WHEELER(T),4200,15.04
2024,Q3,TWO WHEELER(T),5187,23.5
2024,Q4,TWO WHEELER(T),6444,24.23
2025,Q1,TWO WHEELER(T),3955,-38.63
2025,Q2,TWO WHEELER(T),4657,17.75
